col_name,data_type,comment
FiscalWeekBeginDate,date,
FiscalYearNumber,int,
FiscalWeekInYearNumber,int,
FiscalWeekIndex,int,
FiscalPeriodCurrentInd,string,
StoreNumber,int,
StoreType,string,
CountryCode,string,
RegionId,string,
RegionName,string,
AreaId,string,
AreaName,string,
DistrictId,string,
DistrictName,string,
StoreOpenDate,date,
StoreCloseDate,date,
StoreActiveInd,string,
DaysOpen,bigint,
DaysOpenLY,bigint,
TotalTransTY,bigint,
TotalTransLY,bigint,
TotalGrossSalesTY,"decimal(38,6)",
TotalGrossSalesLY,"decimal(38,6)",
TotalNDSTY,double,
TotalNDSLY,double,
TotalSRTransTY,bigint,
TotalSRTransLY,bigint,
TotalSRGrossSalesTY,"decimal(38,6)",
TotalSRGrossSalesLY,"decimal(38,6)",
TotalSRNDSTY,"decimal(38,6)",
TotalSRNDSLY,"decimal(38,6)",
TotalMOPTransTY,bigint,
TotalMOPTransLY,bigint,
TotalMOPGrossSalesTY,"decimal(38,6)",
TotalMOPGrossSalesLY,"decimal(38,6)",
TotalMOPNDSTY,"decimal(38,6)",
TotalMOPNDSLY,"decimal(38,6)",
TotalDigitalTransTY,bigint,
TotalDigitalTransLY,bigint,
TotalDigitalNDSTY,"decimal(38,6)",
TotalDigitalNDSLY,"decimal(38,6)",
TotalNondigitalTransTY,bigint,
TotalNondigitalTransLY,bigint,
TotalNondigitalNDSTY,"decimal(38,6)",
TotalNondigitalNDSLY,"decimal(38,6)",
TotalTransTYComp,bigint,
TotalTransLYComp,bigint,
TotalNDSTYComp,double,
TotalNDSLYComp,double,
YOYTransLY,bigint,
YOYGrossSalesLY,"decimal(38,6)",
YOYNDSLY,double,
TotalCountsFinalized,bigint,
TotalCountsMissed,bigint,
TotalInventoryWaste,"decimal(38,2)",
TotalFoodWaste,"decimal(38,2)",
TotalBeverageWaste,"decimal(38,2)",
TotalOtherWaste,"decimal(38,2)",
TotalLinesShipped,double,
TotalLinesFailed,double,
TotalPlanningLines,double,
ReadinessFailureCount,bigint,
DeliveryCount,double,
ChannelPeakCarCount,bigint,
ChannelPeakWindowSecondsDuration,bigint,
ChannelPeakTotalSecondsDuration,bigint,
StorePeakCarCount,bigint,
StorePeakWindowSecondsDuration,bigint,
StorePeakTotalSecondsDuration,bigint,
CafeOpenActualMinutes,bigint,
CafeOpenScheduledMinutes,bigint,
mop_down_minutes,bigint,
store_open_minutes,bigint,
MOPEnabledActualMinutes,bigint,
MOPEnabledScheduledMinutes,bigint,
delivery_online_minutes,"decimal(20,6)",
intended_delivery_online_minutes,"decimal(20,6)",
UberEatsEnabledActualMinutes,"decimal(29,2)",
UberEatsEnabledScheduledMinutes,"decimal(29,2)",
DoorDashEnabledActualMinutes,"decimal(29,2)",
DoorDashEnabledScheduledMinutes,"decimal(29,2)",
NumberLowPriorityTasks,bigint,
NumberLowPriorityTasksMetSLA,bigint,
NumberMediumPriorityTasks,bigint,
NumberMediumPriorityTasksMetSLA,bigint,
NumberHighPriorityTasks,bigint,
NumberHighPriorityTasksMetSLA,bigint,
ActualStoreLaborPayAmount,"decimal(29,6)",
,,
# Partitioning,,
Part 0,FiscalWeekBeginDate,
,,
# Detailed Table Information,,
Catalog,spark_catalog,
Database,cma_reinvention,
Table,store_week_kpis,
Created Time,Mon Mar 13 20:47:36 UTC 2023,
Last Access,UNKNOWN,
Created By,Spark 3.2.1,
Location,dbfs:/mnt/shared/published/CMA/StoreWeekKPIs/data,
Provider,delta,
Owner,root,
Type,EXTERNAL,
Table Properties,"[delta.minReaderVersion=1,delta.minWriterVersion=2,external=true]",
